id,nombre,cuenta_contable,activo
TG_ACTIVIDADES_INTERNAS_SAX,ACTIVIDADES INTERNAS SAX,4510301043,TRUE
TG_ARRIENDO_VEHICULOS,ARRIENDO VEHICULOS,4510301034,TRUE
TG_ARRIENDOS,ARRIENDOS,4510301002,TRUE
TG_COMBUSTIBLES_Y_LUBRICANTES,COMBUSTIBLES Y LUBRICANTES,4510301013,TRUE
TG_COMISION_TARJETA_BCI,COMISION TARJETA BCI,341,TRUE
TG_COMISION_TARJETA_SANTANDER,COMISION TARJETA SANTANDER,4510301025,TRUE
TG_CONSUMO_DEL_PERSONAL,CONSUMO DEL PERSONAL,4510301042,TRUE
TG_CONTRIBUCIONES,CONTRIBUCIONES,4510301026,TRUE
TG_ELECTRICIDAD,ELECTRICIDAD,4510301012,TRUE
TG_GASTOS_DE_CAPACITACION,GASTOS DE CAPACITACION,4510301031,TRUE
TG_GASTOS_PASAJES_AEREO,GASTOS PASAJES AEREO,4510301045,TRUE
TG_GTO_COMUNICACIONES,GTO. COMUNICACIONES,4510301003,TRUE
TG_GTOS_ALOJAMIENTOS,GTOS. ALOJAMIENTOS,4510301024,TRUE
TG_GTOS_BANCARIOS,GTOS. BANCARIOS,4510301025,TRUE
TG_GTOS_COLACION,GTOS. COLACION,4510301018,TRUE
TG_GTOS_COMUNES,GTOS. COMUNES,4510301016,TRUE
TG_GTOS_CORRESPONDENCIA,GTOS. CORRESPONDENCIA,4510301015,TRUE
TG_GTOS_DE_ESTACIONAMIENTO,GTOS. DE ESTACIONAMIENTO,4510301022,TRUE
TG_GTOS_DE_FLETES,GTOS. DE FLETES,4510301021,TRUE
TG_GTOS_DE_PEAJES,GTOS. DE PEAJES,4510301020,TRUE
TG_GTOS_DE_PUBLICIDAD,GTOS. DE PUBLICIDAD,4510301011,TRUE
TG_GTOS_DE_REPRESENTACION,GTOS. DE REPRESENTACION,4510301010,TRUE
TG_GTOS_DE_VIAJE_Y_ESTADIA,GTOS. DE VIAJE Y ESTADIA,4510301009,TRUE
TG_GTOS_GENERALES,GTOS. GENERALES,4510301023,TRUE
TG_GTOS_LOCOMOCION,GTOS. LOCOMOCION,4510301017,TRUE
TG_GTOS_NOTARIALES,GTOS. NOTARIALES,4510301019,TRUE
TG_HONORARIOS,HONORARIOS,4510301001,TRUE
TG_IMPRESOS_Y_VOLANTES,IMPRESOS Y VOLANTES,4510301007,TRUE
TG_MANTENCION_Y_REPARACION,MANTENCION Y REPARACION,4510301005,TRUE
TG_MATERIALES_Y_REPUESTOS,MATERIALES Y REPUESTOS,4510301044,TRUE
TG_MOVILIZACION,MOVILIZACIÓN,4510301033,TRUE
TG_PATENTE_PROPIEDADES,PATENTE PROPIEDADES,4510301028,TRUE
TG_PATENTE_VEHICULOS,PATENTE VEHICULOS,4510301027,TRUE
TG_PRODUCTOS_QUIMICOS,PRODUCTOS QUIMICOS,4510301037,TRUE
TG_ROPA_DE_TRABAJO_Y_EPP,ROPA DE TRABAJO Y EPP,4510301030,TRUE
TG_SERVICIOS_BASICOS,SERVICIOS BASICOS,4510301004,TRUE
TG_SERVICIOS_Y_ARTICULOS_DE_ASEO,SERVICIOS Y ARTICULOS DE ASEO,4510301029,TRUE
TG_SUSCRIPCIONES,SUSCRIPCIONES,4510301014,TRUE
TG_UTILES_Y_ARTICULOS_DE_OFICINA,UTILES Y ARTICULOS DE OFICINA,4510301008,TRUE
TG_VIATICOS,VIATICOS,4510301040,TRUE
